title	category	excerpt	date	url	published_at_detail	thumbnail_url	datafile_object_url
토스인사이트, 첫 보고서 '스테이블코인: 새로운 금융 인프라의 부상' 발간		토스의 금융경영연구소 토스인사이트 분석력이 담긴 첫 보고서 발간	2025-08-26	https://toss.im/tossfeed/article/39889	2025-08-26	https://static.toss.im/photos/tossinsight_report.jpg	https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/toss/20250826-093810/838be8a6-9b61-40da-9145-e4522db8ca4b-toss_feed.tsv
토스페이먼츠, 항공예약발권시스템(GDS) 간편결제 국내 첫 도입		NOL 인터파크투어에 토스페이 항공권 결제 적용	2025-08-25	https://toss.im/tossfeed/article/GDS	2025-08-25	https://static.toss.im/assets/payments/contents/0822-payments-nol-thumb.png	https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/toss/20250826-093810/838be8a6-9b61-40da-9145-e4522db8ca4b-toss_feed.tsv
토스, ‘토스 삼성카드’ 출시		토스페이, 토스쇼핑, 토스프라임 혜택을 카드 한 장에	2025-08-18	https://toss.im/tossfeed/article/39673	2025-08-18	https://static.toss.im/illusts-content/0812-tossfeed.png	https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/toss/20250826-093810/838be8a6-9b61-40da-9145-e4522db8ca4b-toss_feed.tsv
토스, 2025년 상반기 연결 기준 영업수익 1.2조 원 돌파… 전년 동기 대비 35% 성장		2025년 상반기 재무실적 발표	2025-08-14	https://toss.im/tossfeed/article/251H	2025-08-14	https://static.toss.im/illusts/kv-logo-light.jpg	https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/toss/20250826-093810/838be8a6-9b61-40da-9145-e4522db8ca4b-toss_feed.tsv
Toss Surpasses KRW 668 Billion in Consolidated Revenue for Q2 2025, Achieving 41% Year-over-Year Growth			2025-08-14	https://toss.im/tossfeed/article/2025-2Q-growth	2025-08-14	https://static.toss.im/illusts/kv-logo-light.jpg	https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/toss/20250826-093810/838be8a6-9b61-40da-9145-e4522db8ca4b-toss_feed.tsv
토스, ‘내 신용점수 리포트’ 서비스 오픈		내 금융 행동 분석으로 신용점수 관리하세요	2025-08-12	https://toss.im/tossfeed/article/creditt	2025-08-12	https://static.toss.im/illusts-content/0808-tossfeed.png	https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/toss/20250826-093810/838be8a6-9b61-40da-9145-e4522db8ca4b-toss_feed.tsv
토스 페이스페이, 등록부터 결제까지 자주 묻는 질문들		페이스페이를 등록하고 사용하며 마주치는 물음에 답해드릴게요	2025-08-12	https://toss.im/tossfeed/article/facepay-faq	2025-08-12	https://static.toss.im/illusts/img-face-pay-qna-2.jpg	https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/toss/20250826-093810/838be8a6-9b61-40da-9145-e4522db8ca4b-toss_feed.tsv
Toss Launches ‘My Credit Score Report’ Service		Manage your credit score through financial behavior analysis	2025-08-12	https://toss.im/tossfeed/article/MyCreditScoreReport	2025-08-12	https://static.toss.im/illusts-content/0808-tossfeed.png	https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/toss/20250826-093810/838be8a6-9b61-40da-9145-e4522db8ca4b-toss_feed.tsv
토스, 누적 가입자 수 3,000만 시대 열다		대한민국 국민 10명 중 6명이 사용하는 대표 금융 플랫폼으로 자리매김	2025-08-06	https://toss.im/tossfeed/article/RU3000	2025-08-06	https://static.toss.im/illusts-content/tossfeed-og.jpg	https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/toss/20250826-093810/838be8a6-9b61-40da-9145-e4522db8ca4b-toss_feed.tsv
Toss Reaches 30 Million Cumulative Subscribers		Now used by 6 out of 10 people in Korea as the leading financial platform	2025-08-06	https://toss.im/tossfeed/article/30millionRU	2025-08-06	https://static.toss.im/illusts-content/0805-tossfeed.png	https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/toss/20250826-093810/838be8a6-9b61-40da-9145-e4522db8ca4b-toss_feed.tsv
토스, 토스 앱에 ‘Apple Hub’ 출시		Apple Services 구매∙구독 내역 통합 관리	2025-07-31	https://toss.im/tossfeed/article/appleHub	2025-07-31	https://static.toss.im/0711-applehub.png	https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/toss/20250826-093810/838be8a6-9b61-40da-9145-e4522db8ca4b-toss_feed.tsv
Toss Pay Now Available for Easy Payments on Apple App Store		Subscribe to and purchase Apple services with Toss Pay	2025-07-31	https://toss.im/tossfeed/article/Apple2025	2025-07-31	https://static.toss.im/0711-applehub.png	https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/toss/20250826-093810/838be8a6-9b61-40da-9145-e4522db8ca4b-toss_feed.tsv
토스, 넵튠과 ‘HTML5 게임 챌린지’ 개최		HTML5 게임 개발자라면 누구나 도전하세요	2025-07-30	https://toss.im/tossfeed/article/HTML5	2025-07-30	https://static.toss.im/illusts-content/0725-HTML5game-thumbnail.jpg	https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/toss/20250826-093810/838be8a6-9b61-40da-9145-e4522db8ca4b-toss_feed.tsv
Toss and Neptune to Host ‘HTML5 Game Challenge’		Open to all HTML5 game developers	2025-07-30	https://toss.im/tossfeed/article/HTML5Game	2025-07-30	https://static.toss.im/illusts-content/0725-HTML5game-thumbnail.jpg	https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/toss/20250826-093810/838be8a6-9b61-40da-9145-e4522db8ca4b-toss_feed.tsv
토스, ‘2025 토스 NEXT 개발자 챌린지’ 접수 시작		총 5개 분야에서 경력 3년 이하 개발자 최대 50명 영입 목표	2025-07-30	https://toss.im/tossfeed/article/2025next	2025-07-30	https://static.toss.im/illusts-content/0729-next25-thumb.png	https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/toss/20250826-093810/838be8a6-9b61-40da-9145-e4522db8ca4b-toss_feed.tsv
